relation,query,answer,word1,word2
state_origin-main_factor,divine_theory,god,patriarchal_theory,family
state_origin-main_factor,divine_theory,god,force_theory,war
state_origin-main_factor,divine_theory,god,social_contract_theory,contract
state_origin-main_factor,divine_theory,god,marxian_theory,class_struggle
state_origin-main_factor,divine_theory,god,evolutionary_theory,evolution
ideology-principal_value,human_rights,democracy,central_power,authoritarianism
ideology-principal_value,human_rights,democracy,civil_society,communitarism
ideology-principal_value,human_rights,democracy,equality,communism
ideology-principal_value,human_rights,democracy,tradition,conservatism
ideology-principal_value,human_rights,democracy,civil_liberties,social_democracy
ideology-principal_value,human_rights,democracy,common_ownership,socialism
ideology-principal_value,human_rights,democracy,autonomy,nationalism
ideology-principal_value,human_rights,democracy,corporatism,capitalism
ideology-principal_value,human_rights,democracy,freedom,liberalism
ideology-representatives,Locke,liberalism,marx,marxism
ideology-representatives,Locke,liberalism,Miller,conservatism
ideology-representatives,Locke,liberalism,Owen,social_democracy
ideology-representatives,Locke,liberalism,Hitler,fascism
branch-body,parliament,legislative_branch,government,executive_branch
branch-body,parliament,legislative_branch,court,judicial_branch
types_of_rights_origin_example,Muslim_law,doctrine,sentence,judicial_precedent
types_of_rights_origin_example,Muslim_law,doctrine,Russian_truth,legal_custom
types_of_rights_origin_example,Muslim_law,doctrine,bible,scripture
types_of_rights_origin_example,Muslim_law,doctrine,constitution,legal_act
types_of_rights_origin_example,Muslim_law,doctrine,federal_treaty,legal_contract
types_of_rights_origin_example,Muslim_law,doctrine,UN_resolution,international_legal_act
legal_liability_types-example,assault,intentional_tort,car_accident,negligent_act
legal_liability_types-example,assault,intentional_tort,product_liability,strict_liability_tort
state_form-contry,USA,presidential_republic,Italy,parliamentary_republic
state_form-contry,USA,presidential_republic,France,semi_presidential_republic
state_form-contry,USA,presidential_republic,Qatar,absolute_monarchy
state_form-contry,USA,presidential_republic,Jordan,dual_monarchy
state_form-contry,USA,presidential_republic,Great_Britain,parliamentary_monarchy
capital-coutry,Bangkok,Thailand,Beijing,China
capital-coutry,Bangkok,Thailand,Berlin,Germany
capital-coutry,Bangkok,Thailand,Bern,Switzerland
capital-coutry,Bangkok,Thailand,Cairo,Egypt
capital-coutry,Bangkok,Thailand,Canberra,Australia
capital-coutry,Bangkok,Thailand,Hanoi,Vietnam
capital-coutry,Bangkok,Thailand,Havana,Cuba
capital-coutry,Bangkok,Thailand,Helsinki,Finland
capital-coutry,Bangkok,Thailand,Islamabad,Pakistan
capital-coutry,Bangkok,Thailand,Kabul,Afghanistan
capital-coutry,Bangkok,Thailand,London,England
capital-coutry,Bangkok,Thailand,Madrid,Spain
capital-coutry,Bangkok,Thailand,Moscow,Russia
capital-coutry,Bangkok,Thailand,Oslo,Norway
capital-coutry,Bangkok,Thailand,Ottawa,Canada
capital-coutry,Bangkok,Thailand,Paris,France
capital-coutry,Bangkok,Thailand,Rome,Italy
capital-coutry,Bangkok,Thailand,Stockholm,Sweden
capital-coutry,Bangkok,Thailand,Tehran,Iran
capital-coutry,Bangkok,Thailand,Tokyo,Japan
capital-coutry,Bangkok,Thailand,Athens,Greece
capital-coutry,Bangkok,Thailand,Baghdad,Iraq
capital-coutry,Beijing,China,Berlin,Germany
capital-coutry,Beijing,China,Bern,Switzerland
capital-coutry,Beijing,China,Cairo,Egypt
capital-coutry,Beijing,China,Canberra,Australia
capital-coutry,Beijing,China,Hanoi,Vietnam
capital-coutry,Beijing,China,Havana,Cuba
capital-coutry,Beijing,China,Helsinki,Finland
capital-coutry,Beijing,China,Islamabad,Pakistan
capital-coutry,Beijing,China,Kabul,Afghanistan
capital-coutry,Beijing,China,London,England
capital-coutry,Beijing,China,Madrid,Spain
capital-coutry,Beijing,China,Moscow,Russia
capital-coutry,Beijing,China,Oslo,Norway
capital-coutry,Beijing,China,Ottawa,Canada
capital-coutry,Beijing,China,Paris,France
capital-coutry,Beijing,China,Rome,Italy
capital-coutry,Beijing,China,Stockholm,Sweden
capital-coutry,Beijing,China,Tehran,Iran
capital-coutry,Beijing,China,Tokyo,Japan
capital-coutry,Beijing,China,Athens,Greece
capital-coutry,Beijing,China,Baghdad,Iraq
capital-coutry,Beijing,China,Bangkok,Thailand
capital-coutry,Berlin,Germany,Bern,Switzerland
capital-coutry,Berlin,Germany,Cairo,Egypt
