relation,query,answer,word1,word2
animal_class-animal,whale,mammal,stork,ave
animal_class-animal,whale,mammal,hagfish,agnatha
animal_class-animal,whale,mammal,tuna,osteichthyes
animal_class-animal,whale,mammal,shark,chondrichthyes
animal_class-animal,whale,mammal,frog,amphibian
animal_class-animal,whale,mammal,crocodile,reptile
animal_order-animal,camel,artiodactyla,bear,carnivora
animal_order-animal,camel,artiodactyla,squirrel,rodentia
animal_order-animal,camel,artiodactyla,vampire_bat,chiroptera
animal_order-animal,camel,artiodactyla,dolphin,cetacea
animal_order-animal,camel,artiodactyla,chimpanzee,primates
field_of_biology-subject,anatomy,body,histology,tissue
field_of_biology-subject,anatomy,body,cytology,cell
field_of_biology-subject,anatomy,body,agronomy,crop_plant
field_of_biology-subject,anatomy,body,bacteriology,bacteria
field_of_biology-subject,anatomy,body,cardiology,heart
field_of_biology-subject,anatomy,body,dermatology,skin
field_of_biology-subject,anatomy,body,embryology,embryo
field_of_biology-subject,anatomy,body,entomology,insect
field_of_biology-subject,anatomy,body,genetics,gene
field_of_biology-subject,anatomy,body,osteology,bone
field_of_biology-subject,anatomy,body,phycology,algae
field_of_biology-subject,anatomy,body,trophology,nutrition
field_of_physics-subject,acoustics,sound,astrophysics,star
field_of_physics-subject,acoustics,sound,cryogenics,material
field_of_physics-subject,acoustics,sound,mechanics,motion
field_of_physics-subject,acoustics,sound,molecular_physics,molecule
field_of_physics-subject,acoustics,sound,optics,light
field_of_physics-subject,acoustics,sound,quantum_physics,matter
field_of_physics-subject,acoustics,sound,thermodinamics,temperature
field_of_geography-subject,glaciology,ice,hydrology,water
field_of_geography-subject,glaciology,ice,carthography,map
field_of_geography-subject,glaciology,ice,climatology,climate
field_of_geography-subject,glaciology,ice,meteorology,weather
field_of_geography-subject,glaciology,ice,pedology,soil
field_of_geography-subject,glaciology,ice,oceanology,ocean
field_of_geography-subject,glaciology,ice,population_geography,demography
field_of_geography-subject,glaciology,ice,geology,earth
field_of_geography-subject,glaciology,ice,vulcanology,volcano
compound_main_component,chlorite,chlorine,nitrite,nitrogen
compound_main_component,chlorite,chlorine,sulfit,sulfur
compound_main_component,chlorite,chlorine,hydroxide,oxygen
compound_main_component,chlorite,chlorine,carbonate,carbon
compound_main_component,chlorite,chlorine,calcium_oxide,calcium
